apk_id,apk_hash,apk_is_mal,apk_accept,apk_access,apk_bind,apk_chdir,apk_chmod,apk_chown,apk_chroot,apk_close,apk_connect,apk_dup2,apk_dup,apk_fchdir,apk_fchmod,apk_fchown,apk_fcntl,apk_flock,apk_fpathconf,apk_fstat,apk_fstatfs,apk_fsync,apk_ftruncate,apk_getdirentries,apk_getdomainname,apk_getfh,apk_getfsstat,apk_gethostname,apk_getpeername,apk_getrlimit,apk_getsockname,apk_getsockopt,apk_gettimeofday,apk_hostname,apk_ioctl,apk_link,apk_listen,apk_lseek,apk_lstat,apk_mkdir,apk_mkfifo,apk_mknod,apk_mmap,apk_mount,apk_mq_close,apk_mq_getattr,apk_mq_open,apk_mq_receive,apk_mq_send,apk_mq_setattr,apk_mq_unlink,apk_munmap,apk_nfssvc,apk_open,apk_pipe,apk_read,apk_readlink,apk_readv,apk_recv,apk_recvfrom,apk_recvmsg,apk_rename,apk_rmdir,apk_select,apk_send,apk_sendmsg,apk_sendto,apk_sethostname,apk_setrlimit,apk_setsockopt,apk_settimeofday,apk_shm_open,apk_shm_unlink,apk_shutdown,apk_socket,apk_socketpair,apk_stat,apk_statfs,apk_swapon,apk_symlink,apk_sync,apk_truncate,apk_umask,apk_unlink,apk_unmount,apk_utimes,apk_write,apk_writev
4479,com.historyisfun.ethiopia,0,0,100,0,0,101,0,0,804,31,0,115,0,64,0,1324,14,0,1032,0,5,156,0,0,0,0,0,0,0,9,36,4190,0,6834,71,0,6,52,0,0,0,688,0,0,0,0,0,0,0,0,719,0,217,0,288559,0,0,0,11026,6092,7,0,0,0,163,8316,0,0,13,0,0,0,0,31,0,1280,0,0,0,5,156,0,71,0,0,198008,3054
4480,com.historyisfun.EthiopianEmpire,0,0,56,0,0,58,0,0,455,4,0,66,0,36,0,673,10,0,646,0,4,46,0,0,0,0,0,0,0,1,9,2556,0,4516,40,0,5,32,0,0,0,403,0,0,0,0,0,0,0,0,416,0,145,1,207200,0,0,0,7178,3195,5,0,0,0,52,4341,0,0,1,0,0,0,0,4,0,786,0,0,0,4,46,0,40,0,0,97564,2472
4481,com.historyisfun.islamicgoldenage,0,0,82,0,0,70,0,0,1001,22,0,214,0,44,0,1045,12,0,910,0,4,120,0,0,0,0,0,0,0,6,23,3433,0,3607,54,0,6,45,0,0,0,714,0,0,0,0,0,0,0,0,586,0,216,1,139514,0,0,0,1887,1683,11,0,0,0,61,3136,0,0,9,0,0,0,0,22,0,1093,0,0,0,4,120,0,54,0,0,57336,1276
4482,com.historyisfun.mesopotamiaancient,0,0,81,0,0,69,0,0,955,48,0,205,0,44,0,1152,10,0,844,0,3,148,0,0,0,0,0,0,0,13,34,3576,0,4592,58,0,5,47,0,0,0,640,0,0,0,0,0,0,0,0,468,0,211,1,166646,0,0,0,5110,3007,14,0,0,0,81,4358,0,0,21,0,0,0,0,48,0,1021,0,0,0,3,148,0,58,0,0,74631,1784
4483,com.historyisfun.oromo,0,0,54,0,0,58,0,0,417,0,0,55,0,36,0,672,10,0,640,0,4,49,0,0,0,0,0,0,0,0,8,1778,0,4424,40,0,5,32,0,0,0,394,0,0,0,0,0,0,0,0,483,0,121,0,182517,0,0,0,7348,3223,6,0,0,0,35,4443,0,0,0,0,0,0,0,0,0,785,0,0,0,4,49,0,40,0,0,86344,2332
4484,com.historyisfun.persepolis,0,0,60,0,0,58,0,0,545,16,0,177,0,36,0,742,12,0,649,0,4,85,0,0,0,0,0,0,0,4,16,2186,0,3901,42,0,5,34,0,0,0,462,0,0,0,0,0,0,0,0,442,0,127,0,194457,0,0,0,4696,2584,6,0,0,0,44,3681,0,0,8,0,0,0,0,16,0,793,0,0,0,4,85,0,42,0,0,87555,2268
4485,com.historyisfun.persianempire,0,0,87,0,0,100,0,0,682,4,0,75,0,64,0,1195,14,0,1037,0,4,91,0,0,0,0,0,0,0,1,10,3484,0,5772,69,0,7,53,0,0,0,587,0,0,0,0,0,0,0,0,567,0,201,1,178534,0,0,0,8530,4657,6,0,0,0,92,6561,0,0,1,0,0,0,0,4,0,1289,0,0,0,4,91,0,69,0,0,176348,2470
4486,com.hitechrush.codegym,0,0,0,0,0,0,0,0,43,0,0,14,0,0,0,12,8,0,73,0,0,2,0,0,0,0,0,0,0,0,1,153,0,588,0,0,3,0,0,0,0,87,0,0,0,0,0,0,0,0,54,0,4,0,17587,0,0,0,2903,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,79,0,0,0,0,2,0,0,0,0,99695,12
4487,com.hitrolab.audioeditor,0,0,0,0,0,0,0,0,102,0,0,11,0,0,0,15,6,0,11,0,0,2,0,0,0,0,0,0,0,0,1,35,0,433,1,0,3,1,0,0,0,114,0,0,0,0,0,0,0,0,78,0,5,0,19875,0,0,0,1030,451,2,0,0,0,36,745,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,0,1,0,0,103007,360
4488,com.hivearts.accountable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4489,com.hld.screenmonitor,0,0,279,0,0,119,0,0,1043,72,2,115,0,62,0,1442,14,0,1439,0,25,192,0,0,0,0,0,0,0,18,84,3816,0,4172,103,0,30,193,11,0,0,946,0,0,0,0,0,0,0,0,656,0,292,5,95878,5,0,0,2401,2106,31,0,0,0,105,3433,0,0,33,0,0,0,2,72,2,1861,0,0,0,25,192,0,98,0,0,124989,1338
4490,com.hodocasnik.minej,0,0,5,0,0,4,0,0,271,0,0,53,0,0,0,152,0,0,199,0,0,0,0,0,0,0,0,0,0,0,1,3891,0,1328,0,0,0,4,0,0,0,286,0,0,0,0,0,0,0,0,239,0,8,0,121036,0,0,0,1567,1060,0,0,0,0,54,1524,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,125452,1050
4491,com.holidayeducationist.enavb,0,0,141,0,0,111,0,0,813,0,0,36,0,62,0,1093,4,0,1246,0,15,64,0,0,0,0,0,0,0,0,24,908,0,1654,82,0,2,31,0,0,0,649,0,0,0,0,0,0,0,0,643,0,151,0,7809,0,0,0,619,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1454,0,0,0,15,64,0,82,0,0,1880,94
4492,com.holova.how.to.pray.to.god.prayer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4493,com.holucent.grammar,0,0,60,0,0,66,0,0,576,0,0,287,0,38,0,687,8,0,635,0,9,35,0,0,0,0,0,0,0,0,17,553,0,4835,47,0,135,26,0,0,0,410,0,0,0,0,0,0,0,0,335,0,84,0,169847,0,0,0,5383,0,8,0,0,0,0,408,0,0,0,0,0,0,0,0,0,772,0,0,0,9,35,0,47,0,0,152455,112
4494,com.HomeFitness.AbsExercises,0,0,89,0,0,52,0,0,727,55,0,178,0,30,0,734,12,0,632,0,6,107,0,0,0,0,0,0,0,15,53,2572,0,5545,44,0,273,101,3,0,0,657,0,0,0,0,0,0,0,0,389,0,169,2,144238,5,0,0,7705,3535,7,0,0,0,93,4509,0,0,21,0,0,0,0,55,0,858,0,0,0,6,107,0,39,0,0,142679,1792
4495,com.homemedia.home.okraproductionguide,0,0,61,0,0,0,0,0,1609,14,0,71,0,0,0,218,12,0,144,0,0,60,0,0,0,0,0,0,0,4,33,3252,0,8124,3,0,4,21,0,0,0,290,0,0,0,0,0,0,0,0,297,0,96,0,259673,0,0,0,8456,6452,5,0,0,0,48,7921,0,0,6,0,0,0,0,14,2,213,0,0,0,0,60,0,3,0,0,225796,3960
4496,com.homeremedies.foracidity,0,0,92,0,0,3,0,0,359,0,0,98,0,0,0,86,8,0,277,0,3,2,0,0,0,0,0,0,2,0,36,254,0,2362,4,0,5,1,2,0,0,264,0,0,0,0,0,0,0,0,216,0,37,1,122194,1,0,0,1952,443,25,0,0,0,28,1201,0,1,0,0,0,0,0,0,4,339,0,0,0,3,2,0,3,0,0,130695,1326
4497,com.homeremedies.foracidityingujarati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4498,com.hootapps.soundrecorder,0,0,41,0,0,2,0,0,190,4,1,61,0,0,0,42,8,0,127,0,2,3,0,0,0,0,0,0,0,1,20,2279,0,1554,5,0,19,0,0,0,0,292,0,0,0,0,0,0,0,0,138,0,16,1,1092268,0,0,0,1650,0,3,0,0,0,2,388,0,0,1,0,0,0,1,4,1,135,0,0,0,2,3,0,5,0,0,826329,514
4499,com.hootsuite.droid.full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
